No.,XRD(GSAS),,,,,TD(g/cm3),粉末压实（旧模具）,粉末压实-现行,粉末电阻率Ω·cm,Li%,Fe%,P%,SSA(m2/g),C%,pH,IG/ID,首充(mAh/g),首效(%),0.2C(mAh/g),1C(mAh/g),2C(mAh/g),1C平均电压(1V),-20℃低温-1.8V(1C),ICP(ppm),,,,,,,,,,,,,,,,,,,
,a(Å),b(Å),c(Å),cz(nm),V(Å3),,,,,,,,,,,,,,,,,,,K,Ca,Na,Mg,Al,Cr,Mn,Co,Ni,Cu,Zn,Ti,B,Li,Zr,Sr,Nb,S,Y,V
P700H-2-23,10.3231,6.004,4.6889,133,290.62,0.77,2.65,2.55,17.2,4.31,33.87,19.64,12.06,1.12/1.10,8.96,0.93,162.7,94.29,155.5,139.9,128.2,3.345,33.22%,50.8,161.3,150.9,65.6,27.4,98.8,95.6,2.2,66.8,0,9.8,666.8,5.2,4.31%,10.4,1,1.6,80.8,2.8,未检测
SH-10P-2-23,,,,,,0.72,2.72,2.64,2.44,4.35,33.4,19.42,12.67,1.22,9.63,0.93,160.6,95.58,155.2,139.8,128.5,3.338,24.54%,41.8,249.1,121.3,99.7,144.7,60.4,110.4,13.6,19,0,2,4547.3,7,4.35%,8.8,2.2,未检测,43,0,未检测
S27-3-24,10.32133,6.0039,4.6898,133.5,290.61,0.71,2.64,2.54,2.8,4.45,33.64,19.52,10.98,1.42,9.42,0.93,161.8,95.56,156.6,144.7,135.3,3.344,24.58%,79.2,172,235.6,110.2,53.2,7,150,6,26.4,ND,17.6,1375.6,4.8,4.45%,未检测,1.8,/,33.6,未检测,未检测
S526-1-25,10.32212,6.0041,4.6892,161.5,290.61,0.69,,2.64,5.92,4.39,34.33,19.61,11.67,1.2,9.15,0.93,162.8,95.81,157.9,145.4,135.3,3.333,24.94%,39.4,66.6,88,9.8,87,13.4,11,2.2,未检测,2.8,2.6,2700,7.6,4.39%,135,未检测,25,182.8,未检测,ND
GX100-1-24,,,,,,0.87,2.59,2.49,15.8,4.29,33.72,19.77,12.29,1.27,9.14,,161.8,93.48,153.3,137.2,124.2,3.336,24.16%,36.8,66,163.1,24.8,8.4,8.4,66,3.2,10.6,ND,7.2,2413.6,5.2,4.29%,26,1.2,0,38.4,未检测,未检测
GX100-2-24,10.32192,6.0041,4.69,128.3,290.66,0.88,2.63,2.53,20.7,4.33,33.72,19.56,11.19,1.25,9.15,,161.9,94.09,154.8,137.6,124.8,3.339,22.21%,55.8,141.9,243.8,29.4,17,7.4,72.5,5.8,21.6,ND,8.4,2404.9,4.2,4.33%,未检测,1.4,/,42.6,未检测,未检测
GX100-3-24,,,,,,0.77,2.56,2.46,19.6,4.29,33.81,19.45,13.55,1.34,9.19,,160,96.57,156.3,142.5,132.5,3.346,29.22%,33,104.2,176.9,34.8,37.6,9.2,84.6,3.6,12.8,0,10.4,1763.1,3.2,4.29%,21.8,0,0,/,未检测,未检测
GX100-4-24,,,,,,0.72,2.59,2.49,28.8,4.4,34.04,19.62,12.17,1.46,9.27,0.96,161.7,96.46,157.7,142.8,131.3,3.34,/,32,174.9,150.7,25.2,27.8,94.8,82.6,5.4,62.6,0,8,2608.4,2.4,4.4%,16.6,1,0,26.2,0,未检测
GX100-5-24,,,,,,0.76,2.58,2.48,-,4.41,34.01,19.61,13.07,1.28,9.4,,162.9,95.31,156.6,143.9,133.4,3.341,29.58%,35,184.2,160.4,37.2,107.3,3.2,68.8,3.2,27.4,ND,5.8,2237.3,2.8,4.41%,16.2,ND,ND,34,1,未检测
