filename,dopant_type,dopant_element,n_dopant,x_fraction,config,natoms,formula,graph_time_s,jv_formation_energy_peratom_alignn,jv_formation_energy_peratom_alignn_time_s,jv_optb88vdw_total_energy_alignn,jv_optb88vdw_total_energy_alignn_time_s,jv_ehull_alignn,jv_ehull_alignn_time_s,jv_optb88vdw_bandgap_alignn,jv_optb88vdw_bandgap_alignn_time_s,jv_bulk_modulus_kv_alignn,jv_bulk_modulus_kv_alignn_time_s,jv_magmom_oszicar_alignn,jv_magmom_oszicar_alignn_time_s,mp_e_form_alignn,mp_e_form_alignn_time_s,mp_gappbe_alignn,mp_gappbe_alignn_time_s,total_time_s,BG_reduction_MP,E_hull_change
LFP_Fe=Cu_x10417_n6_c2.poscar,Fe-site,Cu,6,0.01042,c2,4032,Li96Fe95CuP96O384,33.47,-2.066738,0.09,-5.220003,0.09,2.664661,0.09,0.050273,0.09,91.771721,0.09,8.896844,0.09,-2.527784,0.09,2.91769,0.1,34.2,21.01543042772063,0.026561000000000057
LFP_Fe=Cu_x10417_n6_c3.poscar,Fe-site,Cu,6,0.01042,c3,4032,Li96Fe95CuP96O384,32.33,-2.066728,0.09,-5.219913,0.09,2.665416,0.09,0.050253,0.09,91.769157,0.09,8.899238,0.09,-2.5278,0.09,2.899151,0.09,33.05,21.517298321602603,0.027315999999999896
LFP_Fe=Cu_x12153_n7_c1.poscar,Fe-site,Cu,7,0.01215,c1,4032,Li576Fe569Cu7P576O2304,32.02,-2.066586,0.09,-5.218531,0.09,2.670311,0.09,0.050064,0.09,91.770088,0.09,8.90411,0.09,-2.527162,0.09,2.701256,0.09,32.74,26.874499187872225,0.03221099999999977
LFP_Fe=Cu_x12153_n7_c2.poscar,Fe-site,Cu,7,0.01215,c2,4032,Li576Fe569Cu7P576O2304,32.12,-2.066601,0.09,-5.218601,0.09,2.671297,0.09,0.050084,0.09,91.770996,0.09,8.904168,0.09,-2.527155,0.09,2.692238,0.09,32.84,27.11862479696805,0.03319699999999992
LFP_Fe=Cu_x12153_n7_c3.poscar,Fe-site,Cu,7,0.01215,c3,4032,Li576Fe569Cu7P576O2304,32.9,-2.066564,0.09,-5.218484,0.09,2.664499,0.09,0.05005,0.09,91.769905,0.09,8.899594,0.09,-2.527178,0.09,2.94175,0.09,33.63,20.364103952355173,0.02639900000000006
LFP_Fe=Cu_x13889_n8_c1.poscar,Fe-site,Cu,8,0.01389,c1,4032,Li72Fe71CuP72O288,32.58,-2.066459,0.09,-5.217278,0.09,2.676283,0.09,0.050032,0.09,91.774361,0.09,8.90828,0.09,-2.526548,0.09,2.605806,0.09,33.31,29.458419057931785,0.03818300000000008
LFP_Fe=Cu_x13889_n8_c2.poscar,Fe-site,Cu,8,0.01389,c2,4032,Li72Fe71CuP72O288,32.24,-2.066451,0.09,-5.217197,0.09,2.671944,0.09,0.049968,0.09,91.772484,0.09,8.907698,0.09,-2.526545,0.09,2.788785,0.09,32.96,24.50500812127775,0.03384399999999976
LFP_Fe=Cu_x13889_n8_c3.poscar,Fe-site,Cu,8,0.01389,c3,4032,Li72Fe71CuP72O288,32.15,-2.066444,0.09,-5.217194,0.09,2.672511,0.09,0.049977,0.09,91.774635,0.09,8.90787,0.09,-2.526548,0.09,2.703476,0.09,32.87,26.814401732539245,0.03441099999999997
LFP_Fe=Cu_x15625_n9_c1.poscar,Fe-site,Cu,9,0.01562,c1,4032,Li64Fe63CuP64O256,32.56,-2.066311,0.09,-5.21584,0.09,2.676944,0.09,0.049862,0.09,91.773636,0.09,8.911763,0.09,-2.525942,0.09,2.608718,0.09,33.29,29.379588521927445,0.0388440000000001
LFP_Fe=Cu_x15625_n9_c2.poscar,Fe-site,Cu,9,0.01562,c2,4032,Li64Fe63CuP64O256,33.32,-2.066278,0.09,-5.215758,0.09,2.678882,0.09,0.049814,0.09,91.773613,0.09,8.911111,0.09,-2.525959,0.09,2.494854,0.09,34.05,32.46199242014076,0.040782000000000096
LFP_Fe=Cu_x15625_n9_c3.poscar,Fe-site,Cu,9,0.01562,c3,4032,Li64Fe63CuP64O256,32.53,-2.066275,0.09,-5.215772,0.09,2.678819,0.09,0.049849,0.09,91.77375,0.09,8.910821,0.09,-2.525959,0.09,2.556153,0.09,33.25,30.802571737953432,0.04071899999999973
LFP_Fe=Cu_x17361_n10_c1.poscar,Fe-site,Cu,10,0.01736,c1,4032,Li288Fe283Cu5P288O1152,32.23,-2.066137,0.09,-5.214477,0.09,2.682149,0.09,0.049763,0.09,91.777977,0.09,8.915154,0.09,-2.525337,0.09,2.406846,0.09,32.96,34.84445046020574,0.04404899999999978
LFP_Fe=Cu_x17361_n10_c2.poscar,Fe-site,Cu,10,0.01736,c2,4032,Li288Fe283Cu5P288O1152,32.22,-2.066128,0.09,-5.214465,0.09,2.680288,0.09,0.049733,0.09,91.778542,0.09,8.912623,0.09,-2.525336,0.09,2.494988,0.09,32.94,32.45836491608012,0.04218799999999989
LFP_Fe=Cu_x17361_n10_c3.poscar,Fe-site,Cu,10,0.01736,c3,4032,Li288Fe283Cu5P288O1152,33.09,-2.066143,0.09,-5.214447,0.09,2.682563,0.09,0.049784,0.09,91.780144,0.09,8.915088,0.09,-2.525347,0.09,2.438768,0.09,33.82,33.98029236599891,0.04446299999999992
LFP_Fe=Mn_x10417_n6_c1.poscar,Fe-site,Mn,6,0.01042,c1,4032,Li96MnFe95P96O384,32.66,-2.068756,0.09,-5.231218,0.09,2.675664,0.09,0.053454,0.09,91.668312,0.09,8.889425,0.09,-2.531937,0.09,2.913542,0.09,33.38,21.127720628045477,0.03756399999999971
LFP_Fe=Mn_x10417_n6_c3.poscar,Fe-site,Mn,6,0.01042,c3,4032,Li96MnFe95P96O384,32.75,-2.068758,0.09,-5.231231,0.09,2.676382,0.09,0.053559,0.09,91.6623,0.09,8.889297,0.09,-2.531921,0.09,2.936524,0.09,33.48,20.505576610720087,0.038281999999999705
LFP_Fe=Mn_x12153_n7_c1.poscar,Fe-site,Mn,7,0.01215,c1,4032,Li576Mn7Fe569P576O2304,32.8,-2.068923,0.09,-5.231731,0.09,2.682715,0.09,0.053992,0.09,91.649208,0.09,8.892553,0.09,-2.53201,0.09,2.784686,0.09,33.52,24.615971846237134,0.04461499999999985
LFP_Fe=Mn_x12153_n7_c2.poscar,Fe-site,Mn,7,0.01215,c2,4032,Li576Mn7Fe569P576O2304,32.92,-2.068929,0.09,-5.231709,0.09,2.683238,0.09,0.05394,0.09,91.64798,0.09,8.892039,0.09,-2.532012,0.09,2.776342,0.09,33.64,24.841851651326472,0.04513799999999968
LFP_Fe=Mn_x12153_n7_c3.poscar,Fe-site,Mn,7,0.01215,c3,4032,Li576Mn7Fe569P576O2304,33.63,-2.068932,0.1,-5.231718,0.09,2.679493,0.09,0.054025,0.09,91.649857,0.09,8.891713,0.09,-2.532014,0.09,2.945295,0.09,34.36,20.268137520303185,0.04139299999999979
LFP_Fe=Mn_x13889_n8_c1.poscar,Fe-site,Mn,8,0.01389,c1,4032,Li72MnFe71P72O288,33.33,-2.069111,0.09,-5.232227,0.09,2.685514,0.09,0.054577,0.09,91.628494,0.09,8.894116,0.09,-2.532078,0.09,2.825917,0.09,34.05,23.49981050351922,0.047413999999999845
LFP_Fe=Mn_x13889_n8_c2.poscar,Fe-site,Mn,8,0.01389,c2,4032,Li72MnFe71P72O288,32.58,-2.06912,0.09,-5.232216,0.09,2.683642,0.09,0.054234,0.09,91.637589,0.09,8.894044,0.09,-2.5321,0.09,2.820096,0.09,33.3,23.65739036275041,0.04554199999999975
LFP_Fe=Mn_x13889_n8_c3.poscar,Fe-site,Mn,8,0.01389,c3,4032,Li72MnFe71P72O288,32.64,-2.069105,0.09,-5.232207,0.09,2.687514,0.09,0.054515,0.09,91.632027,0.09,8.894425,0.09,-2.532086,0.09,2.749766,0.09,33.36,25.561288576069295,0.04941400000000007
LFP_Fe=Ti_x08681_n5_c2.poscar,Fe-site,Ti,5,0.00868,c2,4032,Li576Ti5Fe571P576O2304,33.38,-2.071159,0.09,-5.232759,0.09,2.657644,0.09,0.049762,0.09,91.90197,0.09,8.879468,0.09,-2.533061,0.09,2.946358,0.09,34.11,20.239361126150513,0.019543999999999784
LFP_Fe=Ti_x10417_n6_c1.poscar,Fe-site,Ti,6,0.01042,c1,4032,Li96TiFe95P96O384,32.89,-2.072043,0.09,-5.233797,0.09,2.660258,0.09,0.04953,0.09,91.925667,0.09,8.878798,0.09,-2.533494,0.09,2.92286,0.09,33.62,20.875473741201947,0.022157999999999678
LFP_Fe=Ti_x10417_n6_c2.poscar,Fe-site,Ti,6,0.01042,c2,4032,Li96TiFe95P96O384,32.92,-2.071852,0.09,-5.233649,0.09,2.660511,0.09,0.049528,0.09,91.928123,0.09,8.879332,0.09,-2.533369,0.09,2.943065,0.09,33.66,20.328505684894427,0.02241099999999996
LFP_Fe=Ti_x10417_n6_c3.poscar,Fe-site,Ti,6,0.01042,c3,4032,Li96TiFe95P96O384,33.48,-2.071905,0.09,-5.233711,0.09,2.660328,0.09,0.0495,0.09,91.928627,0.09,8.877974,0.09,-2.533397,0.09,2.917372,0.09,34.21,21.02403898213319,0.022227999999999692
LFP_Fe=Ti_x12153_n7_c1.poscar,Fe-site,Ti,7,0.01215,c1,4032,Li576Ti7Fe569P576O2304,33.8,-2.072695,0.09,-5.234669,0.09,2.663863,0.09,0.049323,0.09,91.954956,0.09,8.879161,0.09,-2.533809,0.09,2.777874,0.09,34.52,24.80037899296155,0.02576299999999998
LFP_Fe=Ti_x12153_n7_c2.poscar,Fe-site,Ti,7,0.01215,c2,4032,Li576Ti7Fe569P576O2304,33.02,-2.072733,0.09,-5.234667,0.09,2.664135,0.09,0.049372,0.09,91.952873,0.09,8.878991,0.09,-2.533803,0.09,2.760242,0.09,33.75,25.277693557119658,0.02603499999999981
LFP_Fe=Ti_x12153_n7_c3.poscar,Fe-site,Ti,7,0.01215,c3,4032,Li576Ti7Fe569P576O2304,32.94,-2.072609,0.09,-5.234603,0.09,2.664048,0.09,0.049187,0.09,91.954239,0.09,8.878542,0.09,-2.53369,0.09,2.765969,0.09,33.67,25.122658364916077,0.025948000000000082
LFP_Fe=Ti_x13889_n8_c1.poscar,Fe-site,Ti,8,0.01389,c1,4032,Li72TiFe71P72O288,33.07,-2.073507,0.09,-5.235647,0.09,2.667699,0.09,0.049125,0.09,91.979393,0.09,8.878961,0.09,-2.534189,0.09,2.605427,0.09,33.81,29.468678938819703,0.02959899999999971
LFP_Fe=Ti_x13889_n8_c2.poscar,Fe-site,Ti,8,0.01389,c2,4032,Li72TiFe71P72O288,33.85,-2.073475,0.09,-5.235626,0.09,2.667104,0.09,0.049006,0.09,91.978989,0.09,8.87758,0.09,-2.53412,0.09,2.637488,0.09,34.58,28.60075798592312,0.02900400000000003
LFP_Fe=Ti_x13889_n8_c3.poscar,Fe-site,Ti,8,0.01389,c3,4032,Li72TiFe71P72O288,32.83,-2.073273,0.09,-5.23547,0.09,2.667687,0.09,0.049018,0.09,91.985954,0.09,8.880233,0.09,-2.534021,0.09,2.670867,0.09,33.56,27.69715755278831,0.029586999999999808
LFP_Fe=Ti_x15625_n9_c1.poscar,Fe-site,Ti,9,0.01562,c1,4032,Li64TiFe63P64O256,32.8,-2.074138,0.09,-5.236496,0.09,2.671611,0.09,0.048758,0.09,92.010277,0.09,8.878884,0.09,-2.534462,0.09,2.492751,0.09,33.52,32.51892257715213,0.033510999999999846
LFP_Fe=Ti_x15625_n9_c2.poscar,Fe-site,Ti,9,0.01562,c2,4032,Li64TiFe63P64O256,32.82,-2.074034,0.09,-5.23642,0.09,2.671522,0.09,0.048706,0.09,92.012062,0.09,8.879729,0.09,-2.534345,0.09,2.515706,0.09,33.54,31.89750947482403,0.03342199999999984
LFP_Fe=Ti_x15625_n9_c3.poscar,Fe-site,Ti,9,0.01562,c3,4032,Li64TiFe63P64O256,33.39,-2.074205,0.09,-5.236545,0.09,2.671147,0.09,0.048869,0.09,92.005684,0.09,8.878886,0.09,-2.534491,0.09,2.562187,0.09,34.12,30.639225771521378,0.033046999999999827
