filename,dopant_element,n_dopant,concentration_pct,mp_gappbe_alignn,BG_reduction_MP,E_hull_change,jv_bulk_modulus_kv_alignn,total_score
LFP_Fe=Ti_x17361_n10_c2.poscar,Ti,10,1.736,2.299959,37.73798050893341,0.0377499999999999,92.039085,0.8171252355564589
LFP_Fe=Ti_x17361_n10_c1.poscar,Ti,10,1.736,2.354661,36.25714672441797,0.037948,92.039131,0.7728461475653161
LFP_Fe=Ti_x17361_n10_c3.poscar,Ti,10,1.736,2.479676,32.87287493232268,0.0350359999999998,92.036514,0.7041171695979733
LFP_Fe=Ti_x15625_n9_c1.poscar,Ti,9,1.562,2.492751,32.51892257715213,0.0335109999999998,92.010277,0.6965411353336918
LFP_Fe=Ti_x15625_n9_c2.poscar,Ti,9,1.562,2.515706,31.89750947482403,0.0334219999999998,92.012062,0.6805483288864458
LFP_Fe=Ti_x15625_n9_c3.poscar,Ti,9,1.562,2.562187,30.639225771521374,0.0330469999999998,92.005684,0.6452544569382802
LFP_Fe=Ti_x13889_n8_c1.poscar,Ti,8,1.389,2.605427,29.468678938819703,0.0295989999999997,91.979393,0.6336327031488987
LFP_Fe=Ti_x13889_n8_c2.poscar,Ti,8,1.389,2.637488,28.60075798592312,0.029004,91.978989,0.6146121332156456
LFP_Fe=Ti_x13889_n8_c3.poscar,Ti,8,1.389,2.670867,27.69715755278831,0.0295869999999998,91.985954,0.5863298582751333
LFP_Fe=Cu_x17361_n10_c1.poscar,Cu,10,1.736,2.406846,34.84445046020574,0.0440489999999997,91.777977,0.5440101071286138
LFP_Fe=Ti_x12153_n7_c2.poscar,Ti,7,1.215,2.760242,25.277693557119655,0.0260349999999998,91.952873,0.5367594108009928
LFP_Fe=Ti_x12153_n7_c3.poscar,Ti,7,1.215,2.765969,25.122658364916077,0.025948,91.954239,0.5338685786033449
LFP_Fe=Ti_x12153_n7_c1.poscar,Ti,7,1.215,2.777874,24.80037899296155,0.0257629999999999,91.954956,0.5268671351459777
LFP_Fe=Cu_x17361_n10_c3.poscar,Cu,10,1.736,2.438768,33.98029236599891,0.0444629999999999,91.780144,0.5162153431492676
LFP_Fe=Cu_x15625_n9_c2.poscar,Cu,9,1.562,2.494854,32.46199242014076,0.040782,91.773613,0.506621214683641
LFP_Fe=Cu_x17361_n10_c2.poscar,Cu,10,1.736,2.494988,32.45836491608012,0.0421879999999998,91.778542,0.4947970321392465
LFP_Fe=Cu_x15625_n9_c3.poscar,Cu,9,1.562,2.556153,30.802571737953432,0.0407189999999997,91.77375,0.4599049219298529
LFP_Fe=Cu_x13889_n8_c1.poscar,Cu,8,1.389,2.605806,29.458419057931785,0.038183,91.774361,0.44726548763477475
LFP_Fe=Ti_x10417_n6_c3.poscar,Ti,6,1.042,2.917372,21.02403898213319,0.0222279999999996,91.928627,0.44164355217223883
LFP_Fe=Cu_x15625_n9_c1.poscar,Cu,9,1.562,2.608718,29.379588521927445,0.0388440000000001,91.773636,0.4380211309836155
LFP_Fe=Ti_x10417_n6_c1.poscar,Ti,6,1.042,2.92286,20.875473741201947,0.0221579999999996,91.925667,0.4366598800474062
LFP_Fe=Ti_x08681_n5_c2.poscar,Ti,5,0.868,2.946358,20.239361126150513,0.0195439999999997,91.90197,0.4331959857489735
LFP_Fe=Cu_x12153_n7_c1.poscar,Cu,7,1.215,2.701256,26.874499187872225,0.0322109999999997,91.770088,0.4313321369593849
LFP_Fe=Cu_x12153_n7_c2.poscar,Cu,7,1.215,2.692238,27.11862479696805,0.0331969999999999,91.770996,0.4288470317998463
LFP_Fe=Ti_x10417_n6_c2.poscar,Ti,6,1.042,2.943065,20.328505684894427,0.0224109999999999,91.928123,0.4196861675561123
LFP_Fe=Cu_x13889_n8_c3.poscar,Cu,8,1.389,2.703476,26.814401732539245,0.0344109999999999,91.774635,0.409733791125943
LFP_Fe=Cu_x13889_n8_c2.poscar,Cu,8,1.389,2.788785,24.50500812127775,0.0338439999999997,91.772484,0.3483929468918713
LFP_Fe=Cu_x10417_n6_c3.poscar,Cu,6,1.042,2.899151,21.517298321602603,0.0273159999999998,91.769157,0.32696677660486323
LFP_Fe=Cu_x10417_n6_c2.poscar,Cu,6,1.042,2.91769,21.01543042772063,0.026561,91.771721,0.32145821315607065
LFP_Fe=Cu_x12153_n7_c3.poscar,Cu,7,1.215,2.94175,20.364103952355173,0.026399,91.769905,0.3035899881108318
LFP_Fe=Mn_x12153_n7_c2.poscar,Mn,7,1.215,2.776342,24.841851651326472,0.0451379999999996,91.64798,0.1839468248756292
LFP_Fe=Mn_x12153_n7_c1.poscar,Mn,7,1.215,2.784686,24.615971846237137,0.0446149999999998,91.649208,0.18334346409309862
LFP_Fe=Mn_x10417_n6_c1.poscar,Mn,6,1.042,2.913542,21.127720628045477,0.0375639999999997,91.668312,0.16379272157946334
LFP_Fe=Mn_x13889_n8_c3.poscar,Mn,8,1.389,2.749766,25.561288576069295,0.049414,91.632027,0.15378780812534015
LFP_Fe=Mn_x13889_n8_c2.poscar,Mn,8,1.389,2.820096,23.65739036275041,0.0455419999999997,91.637589,0.14098390329631688
LFP_Fe=Mn_x10417_n6_c3.poscar,Mn,6,1.042,2.936524,20.505576610720087,0.0382819999999997,91.6623,0.13587639340955526
LFP_Fe=Mn_x13889_n8_c1.poscar,Mn,8,1.389,2.825917,23.49981050351922,0.0474139999999998,91.628494,0.11325009021043698
LFP_Fe=Mn_x12153_n7_c3.poscar,Mn,7,1.215,2.945295,20.268137520303185,0.0413929999999997,91.649857,0.0917861470342561
