filename,config_id,supercell,ehull_ref,ehull_doped,ehull_diff,actual_concentration_pct,n_dopant_atoms
LFP_Fe=Ti_conc01_n1_c1_4x2x2.poscar,LFP_Fe=Ti_conc01_n1_c1_4x2x2,4x2x2,2.638971,2.671739,0.03276799999999991,1.56,1
LFP_Fe=Ti_conc01_n1_c2_4x2x2.poscar,LFP_Fe=Ti_conc01_n1_c2_4x2x2,4x2x2,2.638971,2.671267,0.03229599999999966,1.56,1
LFP_Fe=Ti_conc01_n1_c3_4x2x2.poscar,LFP_Fe=Ti_conc01_n1_c3_4x2x2,4x2x2,2.638971,2.671968,0.03299699999999994,1.56,1
LFP_Fe=Ti_conc02_n1_c1_4x2x2.poscar,LFP_Fe=Ti_conc02_n1_c1_4x2x2,4x2x2,2.638971,2.671431,0.03245999999999993,1.56,1
LFP_Fe=Ti_conc02_n1_c2_4x2x2.poscar,LFP_Fe=Ti_conc02_n1_c2_4x2x2,4x2x2,2.638971,2.672116,0.03314499999999976,1.56,1
LFP_Fe=Ti_conc02_n1_c3_4x2x2.poscar,LFP_Fe=Ti_conc02_n1_c3_4x2x2,4x2x2,2.638971,2.67208,0.03310899999999961,1.56,1
LFP_Fe=Ti_conc03_n2_c1_4x2x2.poscar,LFP_Fe=Ti_conc03_n2_c1_4x2x2,4x2x2,2.638971,2.703264,0.06429299999999971,3.12,2
LFP_Fe=Ti_conc03_n2_c2_4x2x2.poscar,LFP_Fe=Ti_conc03_n2_c2_4x2x2,4x2x2,2.638971,2.696874,0.05790300000000004,3.12,2
LFP_Fe=Ti_conc03_n2_c3_4x2x2.poscar,LFP_Fe=Ti_conc03_n2_c3_4x2x2,4x2x2,2.638971,2.704113,0.06514199999999981,3.12,2
LFP_Fe=Ti_conc04_n3_c1_4x2x2.poscar,LFP_Fe=Ti_conc04_n3_c1_4x2x2,4x2x2,2.638971,2.728367,0.08939599999999981,4.69,3
LFP_Fe=Ti_conc04_n3_c2_4x2x2.poscar,LFP_Fe=Ti_conc04_n3_c2_4x2x2,4x2x2,2.638971,2.722538,0.08356699999999995,4.69,3
