filename,supercell,mp_gap_ref,mp_gap_doped,mp_gap_diff,jv_gap_ref,jv_gap_doped,jv_gap_diff,config_id,actual_concentration_pct,n_dopant_atoms
LFP_Fe=Ti_conc01_n1_c1_4x2x2,4x2x2,3.728041,2.73841,-0.9896310000000001,0.050382,0.048426,-0.0019560000000000063,LFP_Fe=Ti_conc01_n1_c1_4x2x2,1.56,1
LFP_Fe=Ti_conc01_n1_c2_4x2x2,4x2x2,3.728041,2.742866,-0.9851750000000004,0.050382,0.048418,-0.0019640000000000005,LFP_Fe=Ti_conc01_n1_c2_4x2x2,1.56,1
LFP_Fe=Ti_conc01_n1_c3_4x2x2,4x2x2,3.728041,2.739486,-0.9885550000000003,0.050382,0.048433,-0.0019490000000000063,LFP_Fe=Ti_conc01_n1_c3_4x2x2,1.56,1
LFP_Fe=Ti_conc02_n1_c1_4x2x2,4x2x2,3.728041,2.747855,-0.9801860000000002,0.050382,0.048281,-0.0021010000000000056,LFP_Fe=Ti_conc02_n1_c1_4x2x2,1.56,1
LFP_Fe=Ti_conc02_n1_c2_4x2x2,4x2x2,3.728041,2.738842,-0.9891990000000002,0.050382,0.048425,-0.0019570000000000004,LFP_Fe=Ti_conc02_n1_c2_4x2x2,1.56,1
LFP_Fe=Ti_conc02_n1_c3_4x2x2,4x2x2,3.728041,2.74116,-0.9868810000000003,0.050382,0.048385,-0.0019970000000000057,LFP_Fe=Ti_conc02_n1_c3_4x2x2,1.56,1
LFP_Fe=Ti_conc03_n2_c1_4x2x2,4x2x2,3.728041,1.812342,-1.9156990000000003,0.050382,0.046339,-0.004043000000000005,LFP_Fe=Ti_conc03_n2_c1_4x2x2,3.12,2
LFP_Fe=Ti_conc03_n2_c2_4x2x2,4x2x2,3.728041,2.21203,-1.5160110000000002,0.050382,0.046367,-0.004015000000000005,LFP_Fe=Ti_conc03_n2_c2_4x2x2,3.12,2
LFP_Fe=Ti_conc03_n2_c3_4x2x2,4x2x2,3.728041,1.901642,-1.826399,0.050382,0.046164,-0.0042180000000000065,LFP_Fe=Ti_conc03_n2_c3_4x2x2,3.12,2
LFP_Fe=Ti_conc04_n3_c1_4x2x2,4x2x2,3.728041,1.517915,-2.2101260000000003,0.050382,0.044564,-0.005818000000000004,LFP_Fe=Ti_conc04_n3_c1_4x2x2,4.69,3
LFP_Fe=Ti_conc04_n3_c2_4x2x2,4x2x2,3.728041,1.76,-1.9680410000000002,0.050382,0.044257,-0.0061250000000000054,LFP_Fe=Ti_conc04_n3_c2_4x2x2,4.69,3
LFP_Fe=Ti_conc04_n3_c3_4x2x2,4x2x2,3.728041,0.889461,-2.8385800000000003,0.050382,0.043375,-0.007007000000000006,LFP_Fe=Ti_conc04_n3_c3_4x2x2,4.69,3
LFP_Fe=Ti_conc05_n3_c1_4x2x2,4x2x2,3.728041,1.68621,-2.041831,0.050382,0.04369,-0.0066920000000000035,LFP_Fe=Ti_conc05_n3_c1_4x2x2,4.69,3
LFP_Fe=Ti_conc05_n3_c2_4x2x2,4x2x2,3.728041,1.664194,-2.063847,0.050382,0.04417,-0.006212000000000002,LFP_Fe=Ti_conc05_n3_c2_4x2x2,4.69,3
LFP_Fe=Ti_conc05_n3_c3_4x2x2,4x2x2,3.728041,1.366835,-2.361206,0.050382,0.043688,-0.0066940000000000055,LFP_Fe=Ti_conc05_n3_c3_4x2x2,4.69,3
LFP_Fe=Ti_conc06_n1_c1_2x2x1,2x2x1,3.721795,1.610468,-2.111327,0.05149,0.04165,-0.009840000000000002,LFP_Fe=Ti_conc06_n1_c1_2x2x1,6.25,1
LFP_Fe=Ti_conc06_n1_c2_2x2x1,2x2x1,3.721795,1.657082,-2.0647130000000002,0.05149,0.043428,-0.008062,LFP_Fe=Ti_conc06_n1_c2_2x2x1,6.25,1
LFP_Fe=Ti_conc06_n1_c3_2x2x1,2x2x1,3.721795,1.611243,-2.110552,0.05149,0.04194,-0.009550000000000003,LFP_Fe=Ti_conc06_n1_c3_2x2x1,6.25,1
LFP_Fe=Ti_conc07_n1_c1_2x2x1,2x2x1,3.721795,1.657082,-2.0647130000000002,0.05149,0.043428,-0.008062,LFP_Fe=Ti_conc07_n1_c1_2x2x1,6.25,1
LFP_Fe=Ti_conc07_n1_c2_2x2x1,2x2x1,3.721795,1.622392,-2.099403,0.05149,0.043693,-0.007796999999999998,LFP_Fe=Ti_conc07_n1_c2_2x2x1,6.25,1
LFP_Fe=Ti_conc07_n1_c3_2x2x1,2x2x1,3.721795,1.609821,-2.111974,0.05149,0.042002,-0.009488000000000003,LFP_Fe=Ti_conc07_n1_c3_2x2x1,6.25,1
LFP_Fe=Ti_conc08_n1_c1_2x2x1,2x2x1,3.721795,1.622392,-2.099403,0.05149,0.043693,-0.007796999999999998,LFP_Fe=Ti_conc08_n1_c1_2x2x1,6.25,1
LFP_Fe=Ti_conc08_n1_c2_2x2x1,2x2x1,3.721795,1.610468,-2.111327,0.05149,0.04165,-0.009840000000000002,LFP_Fe=Ti_conc08_n1_c2_2x2x1,6.25,1
LFP_Fe=Ti_conc08_n1_c3_2x2x1,2x2x1,3.721795,1.610468,-2.111327,0.05149,0.04165,-0.009840000000000002,LFP_Fe=Ti_conc08_n1_c3_2x2x1,6.25,1
LFP_Fe=Ti_conc09_n1_c1_2x2x1,2x2x1,3.721795,1.616041,-2.105754,0.05149,0.042084,-0.009405999999999998,LFP_Fe=Ti_conc09_n1_c1_2x2x1,6.25,1
LFP_Fe=Ti_conc09_n1_c2_2x2x1,2x2x1,3.721795,1.657082,-2.0647130000000002,0.05149,0.043428,-0.008062,LFP_Fe=Ti_conc09_n1_c2_2x2x1,6.25,1
LFP_Fe=Ti_conc09_n1_c3_2x2x1,2x2x1,3.721795,1.657082,-2.0647130000000002,0.05149,0.043428,-0.008062,LFP_Fe=Ti_conc09_n1_c3_2x2x1,6.25,1
LFP_Fe=Ti_conc10_n2_c1_2x2x1,2x2x1,3.721795,0.217831,-3.5039640000000003,0.05149,0.03627,-0.015220000000000004,LFP_Fe=Ti_conc10_n2_c1_2x2x1,12.5,2
LFP_Fe=Ti_conc10_n2_c2_2x2x1,2x2x1,3.721795,0.744805,-2.9769900000000002,0.05149,0.036532,-0.014957999999999999,LFP_Fe=Ti_conc10_n2_c2_2x2x1,12.5,2
LFP_Fe=Ti_conc10_n2_c3_2x2x1,2x2x1,3.721795,0.569382,-3.152413,0.05149,0.036413,-0.015077,LFP_Fe=Ti_conc10_n2_c3_2x2x1,12.5,2
LFP_Fe=Ti_conc11_n2_c1_2x2x1,2x2x1,3.721795,0.2054,-3.516395,0.05149,0.035891,-0.015599000000000002,LFP_Fe=Ti_conc11_n2_c1_2x2x1,12.5,2
LFP_Fe=Ti_conc11_n2_c2_2x2x1,2x2x1,3.721795,0.996345,-2.7254500000000004,0.05149,0.037417,-0.014073000000000002,LFP_Fe=Ti_conc11_n2_c2_2x2x1,12.5,2
LFP_Fe=Ti_conc11_n2_c3_2x2x1,2x2x1,3.721795,0.208941,-3.5128540000000004,0.05149,0.036541,-0.014949000000000004,LFP_Fe=Ti_conc11_n2_c3_2x2x1,12.5,2
LFP_Fe=Ti_conc12_n2_c1_2x2x1,2x2x1,3.721795,1.391014,-2.330781,0.05149,0.036202,-0.015288000000000003,LFP_Fe=Ti_conc12_n2_c1_2x2x1,12.5,2
LFP_Fe=Ti_conc12_n2_c2_2x2x1,2x2x1,3.721795,1.46176,-2.2600350000000002,0.05149,0.036622,-0.014868,LFP_Fe=Ti_conc12_n2_c2_2x2x1,12.5,2
LFP_Fe=Ti_conc12_n2_c3_2x2x1,2x2x1,3.721795,1.439005,-2.2827900000000003,0.05149,0.037308,-0.014182,LFP_Fe=Ti_conc12_n2_c3_2x2x1,12.5,2
LFP_Fe=Ti_conc13_n2_c1_2x2x1,2x2x1,3.721795,0.736278,-2.985517,0.05149,0.034938,-0.016552000000000004,LFP_Fe=Ti_conc13_n2_c1_2x2x1,12.5,2
LFP_Fe=Ti_conc13_n2_c2_2x2x1,2x2x1,3.721795,1.439005,-2.2827900000000003,0.05149,0.037308,-0.014182,LFP_Fe=Ti_conc13_n2_c2_2x2x1,12.5,2
LFP_Fe=Ti_conc13_n2_c3_2x2x1,2x2x1,3.721795,0.208879,-3.512916,0.05149,0.036335,-0.015155000000000002,LFP_Fe=Ti_conc13_n2_c3_2x2x1,12.5,2
LFP_Fe=Ti_conc14_n2_c1_2x2x1,2x2x1,3.721795,0.154496,-3.567299,0.05149,0.032706,-0.018784000000000002,LFP_Fe=Ti_conc14_n2_c1_2x2x1,12.5,2
LFP_Fe=Ti_conc14_n2_c2_2x2x1,2x2x1,3.721795,0.752568,-2.969227,0.05149,0.037409,-0.014081000000000003,LFP_Fe=Ti_conc14_n2_c2_2x2x1,12.5,2
LFP_Fe=Ti_conc14_n2_c3_2x2x1,2x2x1,3.721795,1.401645,-2.32015,0.05149,0.035855,-0.015635000000000003,LFP_Fe=Ti_conc14_n2_c3_2x2x1,12.5,2
LFP_Fe=Ti_conc15_n2_c1_2x2x1,2x2x1,3.721795,0.972989,-2.748806,0.05149,0.035848,-0.015642000000000003,LFP_Fe=Ti_conc15_n2_c1_2x2x1,12.5,2
LFP_Fe=Ti_conc15_n2_c2_2x2x1,2x2x1,3.721795,0.755456,-2.966339,0.05149,0.036525,-0.014965,LFP_Fe=Ti_conc15_n2_c2_2x2x1,12.5,2
LFP_Fe=Ti_conc15_n2_c3_2x2x1,2x2x1,3.721795,0.719535,-3.00226,0.05149,0.034833,-0.016656999999999998,LFP_Fe=Ti_conc15_n2_c3_2x2x1,12.5,2
LFP_Fe=Ti_conc16_n3_c1_2x2x1,2x2x1,3.721795,0.796874,-2.9249210000000003,0.05149,0.033188,-0.018302,LFP_Fe=Ti_conc16_n3_c1_2x2x1,18.75,3
LFP_Fe=Ti_conc16_n3_c2_2x2x1,2x2x1,3.721795,0.564322,-3.1574730000000004,0.05149,0.029758,-0.021732,LFP_Fe=Ti_conc16_n3_c2_2x2x1,18.75,3
LFP_Fe=Ti_conc16_n3_c3_2x2x1,2x2x1,3.721795,0.181239,-3.540556,0.05149,0.030322,-0.021168,LFP_Fe=Ti_conc16_n3_c3_2x2x1,18.75,3
LFP_Fe=Ti_conc17_n3_c1_2x2x1,2x2x1,3.721795,0.186405,-3.53539,0.05149,0.029331,-0.022159,LFP_Fe=Ti_conc17_n3_c1_2x2x1,18.75,3
LFP_Fe=Ti_conc17_n3_c2_2x2x1,2x2x1,3.721795,0.136665,-3.5851300000000004,0.05149,0.030162,-0.021328,LFP_Fe=Ti_conc17_n3_c2_2x2x1,18.75,3
LFP_Fe=Ti_conc17_n3_c3_2x2x1,2x2x1,3.721795,0.733459,-2.9883360000000003,0.05149,0.030018,-0.021472,LFP_Fe=Ti_conc17_n3_c3_2x2x1,18.75,3
LFP_Fe=Ti_conc18_n3_c1_2x2x1,2x2x1,3.721795,0.135172,-3.5866230000000003,0.05149,0.02953,-0.02196,LFP_Fe=Ti_conc18_n3_c1_2x2x1,18.75,3
